"Step","melting_self_runseed=4 - training/episode/reward","melting_self_runseed=4 - training/episode/reward__MIN","melting_self_runseed=4 - training/episode/reward__MAX","melting_self_runseed=3 - training/episode/reward","melting_self_runseed=3 - training/episode/reward__MIN","melting_self_runseed=3 - training/episode/reward__MAX","melting_self_runseed=2 - training/episode/reward","melting_self_runseed=2 - training/episode/reward__MIN","melting_self_runseed=2 - training/episode/reward__MAX","melting_self_runseed=1 - training/episode/reward","melting_self_runseed=1 - training/episode/reward__MIN","melting_self_runseed=1 - training/episode/reward__MAX","melting_self_runseed=0 - training/episode/reward","melting_self_runseed=0 - training/episode/reward__MIN","melting_self_runseed=0 - training/episode/reward__MAX"
"1314816","","","","","","","","","","2587","2587","2587","","",""
"1318016","-5000","-5000","-5000","","","","","","","","","","","",""
"1331648","","","","","","","","","","2511","2511","2511","","",""
"1331712","-5000","-5000","-5000","","","","","","","","","","","",""
"1339072","","","","3085","3085","3085","","","","","","","","",""
"1344640","","","","","","","","","","-5000","-5000","-5000","","",""
"1345792","","","","","","","","","","4779","4779","4779","","",""
"1345856","","","","4078","4078","4078","","","","","","","","",""
"1348224","","","","","","","","","","","","","1316","1316","1316"
"1348480","873","873","873","","","","","","","","","","","",""
"1348800","","","","","","","","","","4436","4436","4436","","",""
"1352000","","","","","","","","","","2103","2103","2103","","",""
"1352064","-5000","-5000","-5000","","","","","","","","","","","",""
"1354176","","","","","","","-5000","-5000","-5000","","","","","",""
"1359552","","","","","","","","","","3404","3404","3404","","",""
"1362368","-5000","-5000","-5000","","","","","","","","","","","",""
"1362752","","","","-5000","-5000","-5000","","","","","","","","",""
"1364096","","","","","","","-5000","-5000","-5000","","","","","",""
"1364480","4115","4115","4115","","","","","","","","","","","",""
"1364928","","","","","","","-5000","-5000","-5000","","","","","",""
"1365184","","","","","","","3460","3460","3460","","","","","",""
"1366656","","","","","","","","","","","","","3842","3842","3842"
"1369344","","","","","","","-5000","-5000","-5000","","","","","",""
"1369728","","","","3571","3571","3571","","","","","","","","",""
"1378048","","","","","","","3992","3992","3992","","","","","",""
"1378560","","","","","","","3707","3707","3707","","","","","",""
"1379392","","","","","","","","","","4522","4522","4522","","",""
"1382912","2996","2996","2996","","","","","","","","","","","",""
"1383744","3125","3125","3125","","","","","","","","","","","",""
"1384064","","","","","","","","","","4240","4240","4240","","",""
"1386048","","","","4121","4121","4121","","","","","","","","",""
"1392576","2671","2671","2671","","","","","","","","","","","",""
"1393600","","","","","","","1079","1079","1079","","","","","",""
"1399360","","","","","","","1458","1458","1458","","","","","",""
"1399424","","","","","","","4121","4121","4121","","","","","",""
"1400000","","","","","","","","","","","","","-5000","-5000","-5000"
