"Step","melting_softmax_runseed=4 - training/episode/length","melting_softmax_runseed=4 - training/episode/length__MIN","melting_softmax_runseed=4 - training/episode/length__MAX","melting_softmax_runseed=3 - training/episode/length","melting_softmax_runseed=3 - training/episode/length__MIN","melting_softmax_runseed=3 - training/episode/length__MAX","melting_softmax_runseed=2 - training/episode/length","melting_softmax_runseed=2 - training/episode/length__MIN","melting_softmax_runseed=2 - training/episode/length__MAX","melting_softmax_runseed=1 - training/episode/length","melting_softmax_runseed=1 - training/episode/length__MIN","melting_softmax_runseed=1 - training/episode/length__MAX","melting_softmax_runseed=0 - training/episode/length","melting_softmax_runseed=0 - training/episode/length__MIN","melting_softmax_runseed=0 - training/episode/length__MAX"
"1346560","","","","","","","","","","3789","3789","3789","","",""
"1347904","3104","3104","3104","","","","","","","","","","","",""
"1349632","","","","4317","4317","4317","","","","","","","","",""
"1350528","","","","","","","","","","4274","4274","4274","","",""
"1351552","2003","2003","2003","","","","","","","","","","","",""
"1353664","","","","1152","1152","1152","","","","","","","","",""
"1354240","","","","5000","5000","5000","","","","","","","","",""
"1356288","1193","1193","1193","","","","","","","","","","","",""
"1358080","","","","1221","1221","1221","","","","","","","","",""
"1359040","","","","","","","","","","","","","1486","1486","1486"
"1359232","1325","1325","1325","","","","","","","","","","","",""
"1359424","","","","","","","","","","5000","5000","5000","","",""
"1362688","","","","5000","5000","5000","","","","","","","","",""
"1367296","","","","","","","","","","","","","2275","2275","2275"
"1368128","","","","","","","","","","","","","5000","5000","5000"
"1369664","","","","5000","5000","5000","","","","","","","","",""
"1372032","","","","916","916","916","","","","","","","","",""
"1372864","2544","2544","2544","","","","","","","","","","","",""
"1373248","339","339","339","","","","","","","","","","","",""
"1373632","","","","5000","5000","5000","","","","","","","","",""
"1374784","","","","","","","","","","","","","5000","5000","5000"
"1377728","","","","","","","","","","3387","3387","3387","","",""
"1381248","","","","5000","5000","5000","","","","","","","","",""
"1381376","","","","5000","5000","5000","","","","","","","","",""
"1384832","","","","5000","5000","5000","","","","","","","","",""
"1392384","","","","5000","5000","5000","","","","","","","","",""
"1393344","3285","3285","3285","","","","","","","","","","","",""
"1397120","","","","5000","5000","5000","","","","","","","","",""
"1397504","","","","","","","","","","2353","2353","2353","","",""
"1400768","3548","3548","3548","","","","","","","","","","","",""
"1401536","","","","","","","","","","","","","1235","1235","1235"
"1401600","3217","3217","3217","","","","","","","","","","","",""
"1402496","","","","5000","5000","5000","","","","","","","","",""
"1403328","","","","","","","","","","","","","550","550","550"
"1404736","5000","5000","5000","","","","","","","","","","","",""
"1410816","","","","","","","","","","5000","5000","5000","","",""
"1411520","","","","592","592","592","","","","","","","","",""
"1413952","","","","2094","2094","2094","","","","","","","","",""
"1419008","","","","","","","","","","","","","235","235","235"
"1420672","","","","","","","","","","5000","5000","5000","","",""
"1425856","","","","","","","","","","2316","2316","2316","","",""
"1426688","5000","5000","5000","","","","","","","","","","","",""
"1427648","","","","2780","2780","2780","","","","","","","","",""
