"Step","melting_self_runseed=4 - training/episode/length","melting_self_runseed=4 - training/episode/length__MIN","melting_self_runseed=4 - training/episode/length__MAX","melting_self_runseed=3 - training/episode/length","melting_self_runseed=3 - training/episode/length__MIN","melting_self_runseed=3 - training/episode/length__MAX","melting_self_runseed=2 - training/episode/length","melting_self_runseed=2 - training/episode/length__MIN","melting_self_runseed=2 - training/episode/length__MAX","melting_self_runseed=1 - training/episode/length","melting_self_runseed=1 - training/episode/length__MIN","melting_self_runseed=1 - training/episode/length__MAX","melting_self_runseed=0 - training/episode/length","melting_self_runseed=0 - training/episode/length__MIN","melting_self_runseed=0 - training/episode/length__MAX"
"1181632","","","","5000","5000","5000","","","","","","","","",""
"1183552","","","","","","","","","","5000","5000","5000","","",""
"1183680","","","","5000","5000","5000","","","","","","","","",""
"1184896","","","","","","","5000","5000","5000","","","","","",""
"1186304","","","","354","354","354","","","","","","","","",""
"1186624","","","","","","","","","","5000","5000","5000","","",""
"1188928","","","","","","","","","","2345","2345","2345","","",""
"1192768","","","","","","","1918","1918","1918","","","","","",""
"1195840","","","","","","","363","363","363","","","","","",""
"1198336","","","","","","","","","","","","","3780","3780","3780"
"1209600","","","","","","","","","","","","","5000","5000","5000"
"1209984","","","","","","","","","","","","","4008","4008","4008"
"1212672","","","","","","","2386","2386","2386","","","","","",""
"1216128","2749","2749","2749","","","","","","","","","","","",""
"1216768","1312","1312","1312","","","","","","","","","","","",""
"1217408","","","","","","","","","","","","","1558","1558","1558"
"1220224","2794","2794","2794","","","","","","","","","","","",""
"1222528","","","","","","","","","","5000","5000","5000","702","702","702"
"1224512","","","","","","","","","","1358","1358","1358","","",""
"1224768","","","","5000","5000","5000","","","","","","","","",""
"1228864","1615","1615","1615","","","","","","","","","","","",""
"1229248","","","","4832","4832","4832","","","","","","","","",""
"1233728","","","","","","","5000","5000","5000","","","","","",""
"1233920","","","","1616","1616","1616","","","","","","","","",""
"1235520","","","","","","","","","","","","","581","581","581"
"1236928","","","","","","","","","","","","","4450","4450","4450"
"1243328","","","","","","","","","","","","","5000","5000","5000"
"1245376","","","","","","","","","","4460","4460","4460","","",""
