"Step","a3c_runseed=4 - training/episode/reward","a3c_runseed=4 - training/episode/reward__MIN","a3c_runseed=4 - training/episode/reward__MAX","a3c_runseed=3 - training/episode/reward","a3c_runseed=3 - training/episode/reward__MIN","a3c_runseed=3 - training/episode/reward__MAX","a3c_runseed=2 - training/episode/reward","a3c_runseed=2 - training/episode/reward__MIN","a3c_runseed=2 - training/episode/reward__MAX","a3c_runseed=1 - training/episode/reward","a3c_runseed=1 - training/episode/reward__MIN","a3c_runseed=1 - training/episode/reward__MAX","a3c_runseed=0 - training/episode/reward","a3c_runseed=0 - training/episode/reward__MIN","a3c_runseed=0 - training/episode/reward__MAX"
"1005120","","","","","","","1937","1937","1937","","","","","",""
"1005440","","","","","","","","","","2701","2701","2701","","",""
"1006592","","","","","","","","","","","","","-5000","-5000","-5000"
"1009088","","","","","","","686","686","686","","","","","",""
"1009216","141","141","141","","","","","","","","","","","",""
"1009536","","","","-5000","-5000","-5000","","","","","","","2733","2733","2733"
"1013824","","","","","","","","","","","","","1207","1207","1207"
"1015296","","","","322","322","322","","","","","","","","",""
"1015424","","","","","","","","","","","","","3401","3401","3401"
"1016512","","","","","","","","","","","","","-5000","-5000","-5000"
"1016640","","","","","","","-5000","-5000","-5000","","","","","",""
"1016768","","","","","","","","","","","","","690","690","690"
"1017600","","","","","","","","","","-5000","-5000","-5000","","",""
"1018624","","","","","","","820","820","820","","","","","",""
"1020288","","","","","","","2891","2891","2891","","","","","",""
"1023552","","","","-5000","-5000","-5000","","","","","","","","",""
"1023936","","","","-5000","-5000","-5000","","","","","","","2388","2388","2388"
"1025472","3160","3160","3160","","","","","","","","","","","",""
"1026944","","","","","","","3656","3656","3656","","","","","",""
"1027200","","","","","","","","","","-5000","-5000","-5000","","",""
"1027584","","","","","","","","","","","","","2421","2421","2421"
"1028160","","","","","","","2013","2013","2013","","","","","",""
"1028416","","","","","","","","","","","","","-5000","-5000","-5000"
"1029696","","","","","","","","","","","","","2335","2335","2335"
"1031360","","","","","","","","","","","","","-5000","-5000","-5000"
"1031488","","","","","","","","","","1331","1331","1331","","",""
"1031744","","","","","","","","","","2722","2722","2722","","",""
"1032448","","","","","","","","","","1962","1962","1962","","",""
"1033088","","","","4128","4128","4128","","","","","","","","",""
