"Step","melting_softmax_runseed=4 - training/episode/reward","melting_softmax_runseed=4 - training/episode/reward__MIN","melting_softmax_runseed=4 - training/episode/reward__MAX","melting_softmax_runseed=3 - training/episode/reward","melting_softmax_runseed=3 - training/episode/reward__MIN","melting_softmax_runseed=3 - training/episode/reward__MAX","melting_softmax_runseed=2 - training/episode/reward","melting_softmax_runseed=2 - training/episode/reward__MIN","melting_softmax_runseed=2 - training/episode/reward__MAX","melting_softmax_runseed=1 - training/episode/reward","melting_softmax_runseed=1 - training/episode/reward__MIN","melting_softmax_runseed=1 - training/episode/reward__MAX","melting_softmax_runseed=0 - training/episode/reward","melting_softmax_runseed=0 - training/episode/reward__MIN","melting_softmax_runseed=0 - training/episode/reward__MAX"
"1295680","1535","1535","1535","","","","","","","","","","","",""
"1297600","","","","4317","4317","4317","","","","","","","","",""
"1306048","","","","","","","-5000","-5000","-5000","","","","","",""
"1306624","790","790","790","","","","","","","","","","","",""
"1307264","","","","","","","","","","","","","326","326","326"
"1310656","","","","2522","2522","2522","","","","","","","","",""
"1320512","","","","","","","","","","","","","2339","2339","2339"
"1321920","","","","","","","","","","","","","2923","2923","2923"
"1324288","2181","2181","2181","","","","","","","","","","","",""
"1325824","","","","","","","","","","2178","2178","2178","","",""
"1326784","","","","373","373","373","","","","","","","","",""
"1331136","-5000","-5000","-5000","","","","","","","","","","","",""
"1336640","","","","","","","","","","","","","3445","3445","3445"
"1337856","","","","","","","","","","","","","2711","2711","2711"
"1337920","","","","3434","3434","3434","","","","","","","","",""
"1338752","","","","2058","2058","2058","","","","","","","","",""
"1341632","","","","","","","","","","-5000","-5000","-5000","","",""
"1341696","","","","","","","-5000","-5000","-5000","","","","","",""
"1345792","","","","","","","","","","","","","3093","3093","3093"
"1346560","","","","","","","","","","1211","1211","1211","","",""
"1348480","1007","1007","1007","","","","","","","","","","","",""
"1349632","","","","683","683","683","","","","","","","","",""
"1351552","2997","2997","2997","","","","","","","","","","","",""
"1353600","","","","","","","","","","","","","4471","4471","4471"
"1356096","","","","","","","","","","2668","2668","2668","","",""
"1356288","3807","3807","3807","","","","","","","","","","","",""
"1357440","3448","3448","3448","","","","","","","","","","","",""
"1358016","","","","3780","3780","3780","","","","","","","","",""
"1358080","","","","3779","3779","3779","","","","","","","","",""
"1362688","","","","-5000","-5000","-5000","","","","","","","","",""
"1362880","","","","","","","","","","-5000","-5000","-5000","","",""
"1363520","","","","","","","","","","","","","2221","2221","2221"
"1366592","-5000","-5000","-5000","","","","","","","","","","","",""
"1368128","","","","","","","","","","","","","-5000","-5000","-5000"
"1369152","-5000","-5000","-5000","","","","","","","","","","","",""
"1372032","","","","4084","4084","4084","","","","","","","","",""
"1373504","","","","","","","","","","4641","4641","4641","","",""
"1373632","","","","-5000","-5000","-5000","","","","","","","","",""
"1374976","2723","2723","2723","","","","","","","","","","","",""
"1375936","","","","","","","","","","347","347","347","","",""
"1377856","","","","","","","","","","2328","2328","2328","","",""
"1381440","","","","","","","","","","381","381","381","","",""
"1381696","4603","4603","4603","","","","","","","","","","","",""
"1384832","","","","-5000","-5000","-5000","","","","","","","","",""
"1386752","943","943","943","","","","","","","","","","","",""
"1390080","","","","-5000","-5000","-5000","","","","","","","","",""
"1392384","","","","-5000","-5000","-5000","","","","","","","","",""
"1397504","","","","","","","","","","2647","2647","2647","","",""
